"Country","sub-national","Eco_region","Year","Management_level","Sector","Location","Site","site_corrected","Station","Station_corrected","family","density.ind.ha.","sd_density","biomass.kg.ha.","sd_biomass","Organization"
"Reference","Reference","Reference","","Reference","Reference","","Blenheim","","Blenheim","Blenheim","Scarinae",456,NA,484.77,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Blenheim","","Blenheim","Blenheim","Epinephelidae",80,NA,308.34,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","DGLagoonN","","DGLagoonN","DGLagoonN","Scarinae",846.67,NA,167.79,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","DGLagoonN","","DGLagoonN","DGLagoonN","Epinephelidae",140,NA,112.03,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","DGOuterN","","DGOuterN","DGOuterN","Scarinae",300,NA,193.01,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","DGOuterN","","DGOuterN","DGOuterN","Epinephelidae",740,NA,547.11,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Eagle Outer","","Eagle Outer","Eagle Outer","Scarinae",976,NA,719.54,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Eagle Outer","","Eagle Outer","Eagle Outer","Epinephelidae",112,NA,240.81,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","EgmontIn","","EgmontIn","EgmontIn","Scarinae",624,NA,827.5,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","EgmontIn","","EgmontIn","EgmontIn","Epinephelidae",224,NA,360.95,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Glo15.1","","Glo15.1","Glo15.1","Scarinae",440,NA,21.03,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Glo15.1","","Glo15.1","Glo15.1","Epinephelidae",173.33,NA,121.96,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Glo15.2","","Glo15.2","Glo15.2","Scarinae",280,NA,39.91,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Glo15.2","","Glo15.2","Glo15.2","Epinephelidae",2640,NA,117.96,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Glo15.3","","Glo15.3","Glo15.3","Scarinae",360,NA,16.05,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Glo15.3","","Glo15.3","Glo15.3","Epinephelidae",0,NA,0,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Glo15.4","","Glo15.4","Glo15.4","Scarinae",120,NA,4.71,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Glo15.4","","Glo15.4","Glo15.4","Epinephelidae",0,NA,0,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Glo15.5","","Glo15.5","Glo15.5","Scarinae",426.67,NA,27.49,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Glo15.5","","Glo15.5","Glo15.5","Epinephelidae",106.67,NA,69.8,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Glo15.6","","Glo15.6","Glo15.6","Scarinae",853.33,NA,9.16,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Glo15.6","","Glo15.6","Glo15.6","Epinephelidae",80,NA,12.43,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","PBCoinLagoon","","PBCoinLagoon","PBCoinLagoon","Scarinae",968,NA,743.47,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","PBCoinLagoon","","PBCoinLagoon","PBCoinLagoon","Epinephelidae",96,NA,127.15,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","PBDiamantLagoon","","PBDiamantLagoon","PBDiamantLagoon","Scarinae",360,NA,618.31,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","PBDiamantLagoon","","PBDiamantLagoon","PBDiamantLagoon","Epinephelidae",112,NA,312.78,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","PBIsdela Passe","","PBIsdela Passe","PBIsdela Passe","Scarinae",1000,NA,1000.8,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","PBIsdela Passe","","PBIsdela Passe","PBIsdela Passe","Epinephelidae",152,NA,237.82,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","PBLagKnolls","","PBLagKnolls","PBLagKnolls","Scarinae",1040,NA,776.1,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","PBLagKnolls","","PBLagKnolls","PBLagKnolls","Epinephelidae",88,NA,155.81,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","SAIsdela Passe","","SAIsdela Passe","SAIsdela Passe","Scarinae",773.33,NA,334.08,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","SAIsdela Passe","","SAIsdela Passe","SAIsdela Passe","Epinephelidae",173.33,NA,363.88,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","SAIsle Anglaise","","SAIsle Anglaise","SAIsle Anglaise","Scarinae",664,NA,491.86,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","SAIsle Anglaise","","SAIsle Anglaise","SAIsle Anglaise","Epinephelidae",32,NA,30.73,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Salomon Lagoon","","Salomon Lagoon","Salomon Lagoon","Scarinae",473.33,NA,322.59,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Salomon Lagoon","","Salomon Lagoon","Salomon Lagoon","Epinephelidae",46.67,NA,33.73,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Three Brothers","","Three Brothers","Three Brothers","Scarinae",632,NA,554.14,NA,"CORDIO"
"Reference","Reference","Reference","","Reference","Reference","","Three Brothers","","Three Brothers","Three Brothers","Epinephelidae",136,NA,139.09,NA,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2010","Partially Restricted","Grand Comore","Coelecanth National Park","NA","Chindini","Chindini","Chin_02","Scarinae",120,102,87,97,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2010","Partially Restricted","Grand Comore","Coelecanth National Park","NA","Chindini","Chindini","Chin_02","Epinephelidae",104,128,37,42,"CORDIO"
"Comoros","Mwali","Mwali","2010","Partially Restricted","Moheli island","Moheli National Park","NA","Ferenga","Ferenga","Ferenga","Scarinae",333,46,398,102,"CORDIO"
"Comoros","Mwali","Mwali","2010","Partially Restricted","Moheli island","Moheli National Park","NA","Ferenga","Ferenga","Ferenga","Epinephelidae",40,40,12,17,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2010","Open access","Grand Comore","Itsandra","NA","Bandamadji","Itsandra","Barakani","Scarinae",8,18,1,2,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2010","Open access","Grand Comore","Itsandra","NA","Bandamadji","Itsandra","Barakani","Epinephelidae",112,107,16,17,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2010","Partially Restricted","Grand Comore","Coelecanth National Park","NA","Male","Male","Male","Scarinae",93,83,93,105,"CORDIO"
"Comoros","Ngazidja","Ngazidja","2010","Partially Restricted","Grand Comore","Coelecanth National Park","NA","Male","Male","Male","Epinephelidae",53,46,11,10,"CORDIO"
