"","Ecoregion","fish","Method","status","n_categories","percent"
"1","Anjoun Island","Parrotfish","ref_max","CR",219,21.9
"2","Anjoun Island","Parrotfish","ref_max","EN",316,31.6
"3","Anjoun Island","Parrotfish","ref_max","LC",447,44.7
"4","Anjoun Island","Parrotfish","ref_max","VU",18,1.8
"5","Anjoun Island","Groupers","ref_max","CR",429,42.9
"6","Anjoun Island","Groupers","ref_max","EN",111,11.1
"7","Anjoun Island","Groupers","ref_max","LC",442,44.2
"8","Anjoun Island","Groupers","ref_max","NT",2,0.2
"9","Anjoun Island","Groupers","ref_max","VU",16,1.6
"10","Grand Comore Island","Parrotfish","ref_max","CR",262,26.2
"11","Grand Comore Island","Parrotfish","ref_max","EN",158,15.8
"12","Grand Comore Island","Parrotfish","ref_max","LC",444,44.4
"13","Grand Comore Island","Parrotfish","ref_max","VU",136,13.6
"14","Grand Comore Island","Groupers","ref_max","CR",185,18.5
"15","Grand Comore Island","Groupers","ref_max","EN",334,33.4
"16","Grand Comore Island","Groupers","ref_max","LC",443,44.3
"17","Grand Comore Island","Groupers","ref_max","NT",1,0.1
"18","Grand Comore Island","Groupers","ref_max","VU",37,3.7
"19","Moheli Island","Parrotfish","ref_max","CR",37,3.7
"20","Moheli Island","Parrotfish","ref_max","EN",126,12.6
"21","Moheli Island","Parrotfish","ref_max","LC",506,50.6
"22","Moheli Island","Parrotfish","ref_max","NT",38,3.8
"23","Moheli Island","Parrotfish","ref_max","VU",293,29.3
"24","Moheli Island","Groupers","ref_max","CR",165,16.5
"25","Moheli Island","Groupers","ref_max","EN",357,35.7
"26","Moheli Island","Groupers","ref_max","LC",447,44.7
"27","Moheli Island","Groupers","ref_max","VU",31,3.1
"28","National","Parrotfish","ref_max","CR",73,7.3
"29","National","Parrotfish","ref_max","EN",370,37
"30","National","Parrotfish","ref_max","LC",444,44.4
"31","National","Parrotfish","ref_max","NT",1,0.1
"32","National","Parrotfish","ref_max","VU",112,11.2
"33","National","Groupers","ref_max","CR",324,32.4
"34","National","Groupers","ref_max","EN",199,19.9
"35","National","Groupers","ref_max","LC",445,44.5
"36","National","Groupers","ref_max","VU",32,3.2
