"Country","Year","Sector","Location","Site","Reef_type","Management_level","Management_type","Depth..m.","Latitude","Longitude","number_replicates","Method","Observer","level1_code","mean_cover","sd","se","Organization","Source"
"Kenya","1987/1988","Kenya","WIO_ALG","Bamburi",NA,NA,NA,"",NA,NA,"","","","Macro-algae","3.3","","","Samoilys 1988","Literature_baseline"
"Kenya","1987/1988","Kenya","WIO_ALG","Leven",NA,NA,NA,"",NA,NA,"","","","Macro-algae","3.6","","","Samoilys 1988","Literature_baseline"
"Kenya","1987/1988","Kenya","WIO_ALG","Mpunguti",NA,NA,NA,"",NA,NA,"","","","Macro-algae","1.2","","","Samoilys 1988","Literature_baseline"
"Kenya","1987/1988","Kenya","WIO_ALG","Uyombo",NA,NA,NA,"",NA,NA,"","","","Macro-algae","2.5","","","Samoilys 1988","Literature_baseline"
"Kenya","1993","Kenya","WIO_ALG","Kisite Marine National Park - Control ",NA,NA,NA,"",NA,NA,"","","","Macro-algae","1.3","","","Muthiga & McClanahan 1997","Literature_baseline"
"Kenya","1993","Kenya","WIO_ALG","Kisite Marine National Park - Control ",NA,NA,NA,"",NA,NA,"","","","Turf algae","46.71","","","Muthiga & McClanahan 1997","Literature_baseline"
"Kenya","1993","Kenya","WIO_ALG","Kisite Marine National Park - Experiment ",NA,NA,NA,"",NA,NA,"","","","Macro-algae","1.3","","","Muthiga & McClanahan 1997","Literature_baseline"
"Kenya","1993","Kenya","WIO_ALG","Kisite Marine National Park - Experiment ",NA,NA,NA,"",NA,NA,"","","","Turf algae","43.67","","","Muthiga & McClanahan 1997","Literature_baseline"
"Kenya","1994","Kenya","WIO_ALG","Kisite Marine National Park - Control ",NA,NA,NA,"",NA,NA,"","","","Macro-algae","7.49","","","Muthiga & McClanahan 1997","Literature_baseline"
"Kenya","1994","Kenya","WIO_ALG","Kisite Marine National Park - Control ",NA,NA,NA,"",NA,NA,"","","","Turf algae","48.22","","","Muthiga & McClanahan 1997","Literature_baseline"
"Kenya","1994","Kenya","WIO_ALG","Kisite Marine National Park - Experiment ",NA,NA,NA,"",NA,NA,"","","","Macro-algae","0.47","","","Muthiga & McClanahan 1997","Literature_baseline"
"Kenya","1994","Kenya","WIO_ALG","Kisite Marine National Park - Experiment ",NA,NA,NA,"",NA,NA,"","","","Turf algae","44.34","","","Muthiga & McClanahan 1997","Literature_baseline"
