"Country","Year","Sector","Location","Site","Reef_type","Management_level","Management_type","Depth..m.","Benthic.category","Benthic.code","mean_cover","se","level","level1_code","level2_code","Latitude","Longitude","Method","Organization","Source","Zone","sd"
"Comoros",2016,"Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"Bare substrate","BS",6.18,NA,1,"BS",NA,"-12.398","43.698","","CORDIO","RLE 2019",NA,NA
"Comoros",2016,"Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"branching","cb",1.6,NA,2,"HC","cb","-12.398","43.698","","CORDIO","RLE 2019",NA,NA
"Comoros",2016,"Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"Coral","HC",8.31,NA,1,"HC",NA,"-12.398","43.698","","CORDIO","RLE 2019",NA,NA
"Comoros",2016,"Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"columnar","cc",1.61,NA,2,"HC","cc","-12.398","43.698","","CORDIO","RLE 2019",NA,NA
"Comoros",2016,"Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"Algae-coralline","ACOR",0,NA,1,"ACOR",NA,"-12.398","43.698","","CORDIO","RLE 2019",NA,NA
"Comoros",2016,"Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"encrusting","ce",2.93,NA,2,"HC","ce","-12.398","43.698","","CORDIO","RLE 2019",NA,NA
"Comoros",2016,"Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"foliaceous","cf",0.27,NA,2,"HC","cf","-12.398","43.698","","CORDIO","RLE 2019",NA,NA
"Comoros",2016,"Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"Inverts-other","INV",1.07,NA,1,"INV",NA,"-12.398","43.698","","CORDIO","RLE 2019",NA,NA
"Comoros",2016,"Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"Silt","SIL",0,NA,2,"SND","SIL","-12.398","43.698","","CORDIO","RLE 2019",NA,NA
"Comoros",2016,"Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"Algae-macro/fleshy","AMAC",0.27,NA,1,"AMAC",NA,"-12.398","43.698","","CORDIO","RLE 2019",NA,NA
"Comoros",2016,"Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"massive","cm",2.41,NA,2,"HC","cm","-12.398","43.698","","CORDIO","RLE 2019",NA,NA
"Comoros",2016,"Moheli island","Moheli National Park","Bahaoussi","","Partially Restricted","National Park",NA,"Rubble","RUB",43.08,NA,1,"RUB",NA,"-12.398","43.698","","CORDIO","RLE 2019",NA,NA
