"Date","Year","Country","Location","Site","Management_level","Latitude","Longitude","number_transect","Family","Mean_biomass","sd_b","se_b","Mean_density","sd_d","se_d"
"04/02/2022",2022,"Comoros","Moheli National Park","Nkandzoni","National Park",0,0,5,"Acanthuridae",103.73672,59.7889437748485,26.7384285166948,1336,938.338957946434,419.637939180909
"9/10/2022",2022,"Comoros","Grand Comore","Memboiboini","National Park",-11.37151,43.32579,4,"Acanthuridae",206.5442,44.4475665091652,22.2237832545826,2150,1209.46269061927,604.731345309634
"9/12/2022",2022,"Comoros","Grand Comore","Chindini","National Park",-11.93169,43.49697,4,"Acanthuridae",481.0347,546.836053441724,273.418026720862,1980,870.555378288289,435.277689144145
"9/13/2022",2022,"Comoros","Grand Comore","Male","National Park",-11.90958,43.51859,5,"Acanthuridae",346.49864,288.944131515087,129.219743953475,2400,549.909083394701,245.92681838303
"9/15/2022",2022,"Comoros","Grand Comore","Itsoundzou","National Park",-11.873187,43.3866534,4,"Acanthuridae",424.6175,379.249027628356,189.624513814178,2070,913.527959798349,456.763979899174
"9/16/2022",2022,"Comoros","Grand Comore","Ifoundihe Chamboini","National Park",-11.91326,43.42691,5,"Acanthuridae",256.58384,137.225329617414,61.3690330518707,1952,862.739821730746,385.8289776572
"9/6/2022",2022,"Comoros","Grand Comore","Ndroude","National Park",-11.40755,43.41835,5,"Acanthuridae",403.82184,417.404397041009,186.668921178201,1928,1011.6916526294,452.442261509687
"9/7/2022",2022,"Comoros","Grand Comore","Ivoini","National Park",-11.39149,43.40332,5,"Acanthuridae",133.37232,46.8460611769229,20.9501954539427,1432,242.322099693775,108.369737473153
"9/8/2022",2022,"Comoros","Grand Comore","Bangoi","National Park",-11.36711,43.37958,5,"Acanthuridae",191.20232,111.34980832508,49.7971481392901,2088,963.908709370343,431.073079651235
"04/02/2022",2022,"Comoros","Moheli National Park","Nkandzoni","National Park",0,0,5,"Epinephelidae",1.93376,3.15517598368142,1.41103759609728,24,35.7770876399966,16
"9/10/2022",2022,"Comoros","Grand Comore","Memboiboini","National Park",-11.37151,43.32579,4,"Epinephelidae",11.8533,3.78677130900014,1.89338565450007,100,23.094010767585,11.5470053837925
"9/12/2022",2022,"Comoros","Grand Comore","Chindini","National Park",-11.93169,43.49697,4,"Epinephelidae",27.6939,8.8330967336867,4.41654836684335,210,119.443152447793,59.7215762238964
"9/13/2022",2022,"Comoros","Grand Comore","Male","National Park",-11.90958,43.51859,5,"Epinephelidae",17.08488,9.68571176279782,4.33158198241705,184,104.307238483242,46.6476151587624
"9/15/2022",2022,"Comoros","Grand Comore","Itsoundzou","National Park",-11.873187,43.3866534,4,"Epinephelidae",151.4158,222.44415958192,111.22207979096,330,358.329457343378,179.164728671689
"9/16/2022",2022,"Comoros","Grand Comore","Ifoundihe Chamboini","National Park",-11.91326,43.42691,5,"Epinephelidae",59.69664,18.520484660181,8.28261253528136,256,45.6070170039655,20.3960780543711
"9/6/2022",2022,"Comoros","Grand Comore","Ndroude","National Park",-11.40755,43.41835,5,"Epinephelidae",149.298,297.800344856214,133.180362964275,104,60.6630035524124,27.1293199325011
"9/7/2022",2022,"Comoros","Grand Comore","Ivoini","National Park",-11.39149,43.40332,5,"Epinephelidae",11.7352,8.8573570685617,3.96113050125845,168,99.5991967839099,44.5421149026402
"9/8/2022",2022,"Comoros","Grand Comore","Bangoi","National Park",-11.36711,43.37958,5,"Epinephelidae",31.18656,20.6622200464519,9.24042571798508,320,215.40659228538,96.3327566303384
