Eco_region,Country,Year,sub-national,MPA,Site,Station,Station_corrected,family,density.ind.ha.
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Bwanga,Bwanga,Scarinae,373
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Bwanga,Bwanga,Scarinae,40
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Chidibwi_peremede,Chidibwi_peremede,Scarinae,53
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Chidzamba_cha_mavovo,Chidzamba_cha_mavovo,Scarinae,173
Malindi-Chale,Kenya,2004,Tiwi-Chale,Open access,Diani_Chale,Chidzamba_cha_mavovo,Chidzamba_cha_mavovo,Scarinae,133
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Chidzamba_cha_mavovo,Chidzamba_cha_mavovo,Scarinae,147
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Chidzamba_cha_mavovo,Chidzamba_cha_mavovo,Scarinae,107
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Chidzamba_cha_mavovo,Chidzamba_cha_mavovo,Epinephelidae,27
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Chidzamba_cha_mekka,Chidzamba_cha_mekka,Scarinae,67
Malindi-Chale,Kenya,2002,Tiwi-Chale,Open access,Diani_Chale,Chidzamba_cha_mekka,Chidzamba_cha_mekka,Scarinae,13
Malindi-Chale,Kenya,2003,Tiwi-Chale,Open access,Diani_Chale,Chidzamba_cha_mekka,Chidzamba_cha_mekka,Scarinae,133
Malindi-Chale,Kenya,2004,Tiwi-Chale,Open access,Diani_Chale,Chidzamba_cha_mekka,Chidzamba_cha_mekka,Scarinae,480
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Chidzamba_cha_mekka,Chidzamba_cha_mekka,Scarinae,880
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Chidzamba_cha_mekka,Chidzamba_cha_mekka,Scarinae,520
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Chidzamba_cha_mekka,Chidzamba_cha_mekka,Epinephelidae,13
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Chidzamba_cha_mtsangani,Chidzamba_cha_mtsangani,Scarinae,53
Malindi-Chale,Kenya,2002,Tiwi-Chale,Open access,Diani_Chale,Chidzamba_cha_mwambogoya,Chidzamba_cha_mwambogoya,Scarinae,13
Malindi-Chale,Kenya,2003,Tiwi-Chale,Open access,Diani_Chale,Chidzamba_cha_mwambogoya,Chidzamba_cha_mwambogoya,Scarinae,53
Malindi-Chale,Kenya,2004,Tiwi-Chale,Open access,Diani_Chale,Chidzamba_cha_mwambogoya,Chidzamba_cha_mwambogoya,Scarinae,67
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Chidzamba_cha_mwambogoya,Chidzamba_cha_mwambogoya,Scarinae,360
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Chidzamba_cha_mwambogoya,Chidzamba_cha_mwambogoya,Scarinae,507
Malindi-Chale,Kenya,2002,Tiwi-Chale,Open access,Diani_Chale,Chilirani,Chilirani,Scarinae,320
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Doa_la_maweni,Doa_la_maweni,Scarinae,160
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Doa_la_maweni,Doa_la_maweni,Scarinae,53
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Doa_la_msusa,Doa_la_msusa,Scarinae,13
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Doa_la_msusa,Doa_la_msusa,Scarinae,27
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Gaani,Gaani,Scarinae,707
Malindi-Chale,Kenya,2003,Tiwi-Chale,Open access,Diani_Chale,Gaani,Gaani,Scarinae,27
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Guruti_ya_pappilloni,Guruti_ya_pappilloni,Scarinae,53
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Guruti_ya_pappilloni,Guruti_ya_pappilloni,Epinephelidae,13
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Hungani,Hungani,Scarinae,93
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Jambe,Jambe,Scarinae,133
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Jambe,Jambe,Scarinae,53
Malindi-Chale,Kenya,2002,Tiwi-Chale,Open access,Diani_Chale,Kibororiani,Kibororiani,Scarinae,60
Malindi-Chale,Kenya,2002,Tiwi-Chale,Open access,Diani_Chale,Kibororiani,Kibororiani,Epinephelidae,10
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Komeo_la_Mwananyamala,Komeo_la_Mwananyamala,Scarinae,80
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Konodzuru,Konodzuru,Scarinae,227
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Ligagana,Ligagana,Scarinae,280
Malindi-Chale,Kenya,2003,Tiwi-Chale,Open access,Diani_Chale,Ligagana,Ligagana,Scarinae,533
Malindi-Chale,Kenya,2004,Tiwi-Chale,Open access,Diani_Chale,Ligagana,Ligagana,Scarinae,200
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Ligagana,Ligagana,Scarinae,253
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Ligagana,Ligagana,Scarinae,547
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Limwinyumwinyu,Limwinyumwinyu,Scarinae,307
Malindi-Chale,Kenya,2002,Tiwi-Chale,Open access,Diani_Chale,Limwinyumwinyu,Limwinyumwinyu,Scarinae,267
Malindi-Chale,Kenya,2003,Tiwi-Chale,Open access,Diani_Chale,Limwinyumwinyu,Limwinyumwinyu,Scarinae,80
Malindi-Chale,Kenya,2004,Tiwi-Chale,Open access,Diani_Chale,Limwinyumwinyu,Limwinyumwinyu,Scarinae,67
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Limwinyumwinyu,Limwinyumwinyu,Scarinae,40
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Limwinyumwinyu,Limwinyumwinyu,Scarinae,787
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Makonde,Makonde,Scarinae,13
Malindi-Chale,Kenya,2003,Tiwi-Chale,Open access,Diani_Chale,Makonde,Makonde,Scarinae,187
Malindi-Chale,Kenya,2004,Tiwi-Chale,Open access,Diani_Chale,Makonde,Makonde,Scarinae,120
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Makonde,Makonde,Scarinae,693
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Makonde,Makonde,Scarinae,147
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Makonde,Makonde,Epinephelidae,40
Malindi-Chale,Kenya,2002,Tiwi-Chale,Open access,Diani_Chale,Malubwi,Malubwi,Scarinae,67
Malindi-Chale,Kenya,2002,Tiwi-Chale,Open access,Diani_Chale,Malubwi,Malubwi,Epinephelidae,13
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Masikati,Masikati,Scarinae,67
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Mchingamo_mwadudu,Mchingamo_mwadudu,Scarinae,40
Malindi-Chale,Kenya,2004,Tiwi-Chale,Open access,Diani_Chale,Mchingamo_mwadudu,Mchingamo_mwadudu,Scarinae,13
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Mchingamo_mwadudu,Mchingamo_mwadudu,Scarinae,547
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Mchingamo_mwadudu,Mchingamo_mwadudu,Epinephelidae,13
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Mkingamo_gazi,Mkingamo_gazi,Scarinae,800
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Mkingamo_gazi,Mkingamo_gazi,Scarinae,587
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Mkono_wa_gutu,Mkono_wa_gutu,Scarinae,133
Malindi-Chale,Kenya,2002,Tiwi-Chale,Open access,Diani_Chale,Mkono_wa_gutu,Mkono_wa_gutu,Scarinae,53
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Mtengo,Mtengo,Scarinae,227
Malindi-Chale,Kenya,2002,Tiwi-Chale,Open access,Diani_Chale,Mtengo,Mtengo,Scarinae,230
Malindi-Chale,Kenya,2003,Tiwi-Chale,Open access,Diani_Chale,Mtengo,Mtengo,Scarinae,147
Malindi-Chale,Kenya,2004,Tiwi-Chale,Open access,Diani_Chale,Mtengo,Mtengo,Scarinae,160
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Mtengo,Mtengo,Scarinae,27
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Mtengo,Mtengo,Scarinae,280
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Mwagogo,Mwagogo,Scarinae,280
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Mwagogo,Mwagogo,Scarinae,27
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Mwagogo,Mwagogo,Scarinae,80
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Mwamba_mkubwa,Mwamba_mkubwa,Scarinae,107
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Mwamba_mkubwa,Mwamba_mkubwa,Scarinae,53
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Chala,Mwamba_wa_Chala,Scarinae,173
Malindi-Chale,Kenya,2003,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Chala,Mwamba_wa_Chala,Scarinae,173
Malindi-Chale,Kenya,2004,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Chala,Mwamba_wa_Chala,Scarinae,400
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Chala,Mwamba_wa_Chala,Scarinae,27
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Chala,Mwamba_wa_Chala,Scarinae,53
Malindi-Chale,Kenya,2002,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Chala,Mwamba_wa_Chala,Epinephelidae,13
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Chala,Mwamba_wa_Chala,Scarinae,80
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Mwatajiri,Mwamba_wa_Mwatajiri,Scarinae,533
Malindi-Chale,Kenya,2002,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Mwatajiri,Mwamba_wa_Mwatajiri,Scarinae,13
Malindi-Chale,Kenya,2003,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Mwatajiri,Mwamba_wa_Mwatajiri,Scarinae,40
Malindi-Chale,Kenya,2004,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Mwatajiri,Mwamba_wa_Mwatajiri,Scarinae,67
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Mwatajiri,Mwamba_wa_Mwatajiri,Scarinae,573
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Mwatajiri,Mwamba_wa_Mwatajiri,Scarinae,40
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Rashidi,Mwamba_wa_Rashidi,Scarinae,67
Malindi-Chale,Kenya,2002,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Rashidi,Mwamba_wa_Rashidi,Scarinae,213
Malindi-Chale,Kenya,2003,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Rashidi,Mwamba_wa_Rashidi,Scarinae,53
Malindi-Chale,Kenya,2004,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Rashidi,Mwamba_wa_Rashidi,Scarinae,360
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Rashidi,Mwamba_wa_Rashidi,Scarinae,13
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Mwamba_wa_Rashidi,Mwamba_wa_Rashidi,Scarinae,520
Malindi-Chale,Kenya,2003,Tiwi-Chale,Open access,Diani_Chale,Mwanadzinani,Mwanadzinani,Scarinae,67
Malindi-Chale,Kenya,2004,Tiwi-Chale,Open access,Diani_Chale,Mwanadzinani,Mwanadzinani,Scarinae,67
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Mwanadzinani,Mwanadzinani,Scarinae,80
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Mwanadzinani,Mwanadzinani,Scarinae,80
Malindi-Chale,Kenya,2002,Tiwi-Chale,Open access,Diani_Chale,Mwanadzinani,Mwanadzinani,Epinephelidae,40
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Mwanadzinani,Mwanadzinani,Epinephelidae,13
Malindi-Chale,Kenya,2001,Tiwi-Chale,Open access,Diani_Chale,Mwananyamala,Mwananyamala,Scarinae,53
Malindi-Chale,Kenya,2002,Tiwi-Chale,Open access,Diani_Chale,Mwanyundo,Mwanyundo,Scarinae,67
Malindi-Chale,Kenya,2003,Tiwi-Chale,Open access,Diani_Chale,Mwanyundo,Mwanyundo,Scarinae,320
Malindi-Chale,Kenya,2004,Tiwi-Chale,Open access,Diani_Chale,Mwanyundo,Mwanyundo,Scarinae,360
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Mwanyundo,Mwanyundo,Scarinae,133
Malindi-Chale,Kenya,2005,Tiwi-Chale,Open access,Diani_Chale,Mwanyundo,Mwanyundo,Scarinae,40
Malindi-Chale,Kenya,2006,Tiwi-Chale,Open access,Diani_Chale,Mwanyundo,Mwanyundo,Scarinae,213
