Unnamed: 0,ecoregion,Site,lat,long,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Ndzuani,Bambao_mtsanga,-12.20883333,44.5225,27.11,27.36,27.67,27.73,27.09,27.56,27.48,27.20,27.30,27.37,27.47,27.28,27.48,27.78,27.50,27.31,27.37,27.64,27.54,27.53,27.64,27.47,27.69,27.25,27.83,28.00,27.92,27.58,27.74,27.77,27.82,27.68,28.08,27.84,28.25
2,Ndzuani,Mpoundri,-12.303833,44.429467,27.12,27.33,27.66,27.72,27.10,27.55,27.42,27.24,27.31,27.37,27.46,27.30,27.50,27.82,27.53,27.33,27.40,27.60,27.55,27.57,27.61,27.44,27.73,27.25,27.81,27.99,27.91,27.56,27.71,27.70,27.81,27.71,28.07,27.84,28.22
3,Ndzuani,Mutsa Muhune,-12.318533,44.441917,27.12,27.33,27.66,27.73,27.11,27.56,27.43,27.24,27.31,27.37,27.46,27.31,27.50,27.83,27.54,27.33,27.40,27.61,27.55,27.58,27.62,27.45,27.75,27.26,27.82,27.99,27.92,27.56,27.71,27.70,27.81,27.71,28.07,27.85,28.22
4,Ndzuani,Nkohani Shindrini,-12.318067,44.448317,27.12,27.33,27.65,27.73,27.10,27.56,27.43,27.23,27.31,27.37,27.46,27.30,27.50,27.83,27.53,27.33,27.40,27.61,27.55,27.57,27.62,27.45,27.74,27.26,27.82,27.99,27.92,27.56,27.71,27.70,27.81,27.70,28.07,27.85,28.22
5,Ndzuani,Plage Moya,-12.31175,44.4328,27.12,27.33,27.66,27.73,27.10,27.56,27.43,27.24,27.31,27.37,27.46,27.31,27.50,27.83,27.54,27.33,27.40,27.61,27.55,27.58,27.62,27.45,27.74,27.26,27.82,27.99,27.92,27.56,27.71,27.70,27.81,27.71,28.07,27.85,28.22
6,Ndzuani,Ouani_01,-12.0647,44.2557,27.16,27.35,27.68,27.73,27.16,27.55,27.49,27.28,27.32,27.41,27.44,27.31,27.49,27.87,27.51,27.38,27.45,27.66,27.54,27.58,27.61,27.46,27.75,27.34,27.85,28.00,27.94,27.59,27.72,27.75,27.82,27.72,28.09,27.86,28.27
7,Ndzuani,Dzindri Yantsini,-12.249128,44.350077,27.15,27.33,27.67,27.71,27.12,27.55,27.43,27.26,27.32,27.39,27.45,27.32,27.50,27.84,27.54,27.36,27.42,27.61,27.54,27.58,27.60,27.45,27.74,27.26,27.82,28.00,27.92,27.58,27.71,27.72,27.81,27.72,28.08,27.86,28.23
8,Ndzuani,Hamare_01,-12.240493,44.334006,27.15,27.33,27.68,27.71,27.12,27.55,27.44,27.27,27.32,27.39,27.45,27.32,27.51,27.85,27.55,27.36,27.42,27.62,27.54,27.59,27.60,27.46,27.75,27.28,27.83,28.00,27.93,27.58,27.70,27.73,27.81,27.73,28.08,27.87,28.24
9,Ndzuani,Hamare_02,-12.241253,44.333174,27.15,27.33,27.68,27.71,27.12,27.55,27.44,27.27,27.32,27.39,27.45,27.32,27.51,27.85,27.55,27.36,27.42,27.62,27.54,27.59,27.60,27.46,27.75,27.28,27.83,28.00,27.93,27.58,27.70,27.73,27.81,27.73,28.08,27.87,28.24
10,Ndzuani,Mabamboni,-12.244921,44.329091,27.15,27.33,27.68,27.71,27.12,27.55,27.44,27.27,27.32,27.39,27.45,27.32,27.51,27.85,27.55,27.36,27.42,27.62,27.54,27.59,27.60,27.46,27.75,27.28,27.83,28.00,27.93,27.58,27.70,27.73,27.81,27.73,28.08,27.87,28.24
11,Ndzuani,Madjibaridi,-12.2433333,44.34805556,27.14,27.33,27.67,27.71,27.12,27.55,27.43,27.26,27.32,27.39,27.45,27.31,27.50,27.84,27.54,27.35,27.41,27.62,27.54,27.58,27.60,27.45,27.74,27.27,27.82,28.00,27.92,27.57,27.70,27.72,27.81,27.72,28.08,27.86,28.23
12,Ndzuani,Mnadzijou,-12.242777,44.3497222,27.14,27.33,27.67,27.71,27.12,27.55,27.43,27.26,27.32,27.39,27.45,27.31,27.50,27.84,27.54,27.35,27.41,27.62,27.54,27.58,27.60,27.45,27.74,27.27,27.82,28.00,27.92,27.57,27.70,27.72,27.81,27.72,28.08,27.86,28.23
13,Ndzuani,Mrojou,-12.2440278,44.3556667,27.14,27.33,27.67,27.71,27.11,27.55,27.43,27.25,27.31,27.38,27.45,27.31,27.50,27.83,27.53,27.35,27.41,27.61,27.54,27.57,27.60,27.45,27.73,27.26,27.82,28.00,27.92,27.57,27.70,27.72,27.81,27.71,28.08,27.85,28.23
14,Ndzuani,Anlamadjou,-12.19683333,44.22866667,27.16,27.34,27.66,27.72,27.16,27.54,27.46,27.28,27.32,27.40,27.43,27.31,27.50,27.87,27.52,27.38,27.45,27.65,27.53,27.59,27.61,27.47,27.75,27.31,27.84,27.99,27.94,27.59,27.70,27.74,27.81,27.73,28.08,27.86,28.25
15,Ndzuani,Fumboni,-12.18536,44.29144,27.16,27.34,27.68,27.72,27.14,27.55,27.46,27.28,27.32,27.40,27.45,27.31,27.49,27.86,27.52,27.37,27.43,27.64,27.54,27.58,27.60,27.46,27.74,27.32,27.85,27.99,27.94,27.58,27.71,27.74,27.82,27.71,28.08,27.85,28.27
16,Ndzuani,Habwanajibou,-12.22028,44.25693,27.16,27.34,27.67,27.72,27.15,27.55,27.45,27.28,27.32,27.40,27.44,27.32,27.51,27.87,27.54,27.38,27.45,27.64,27.53,27.60,27.61,27.48,27.76,27.29,27.84,27.98,27.94,27.58,27.71,27.73,27.81,27.74,28.08,27.87,28.25
17,Ndzuani,Harimandago,-12.20559,44.22253,27.17,27.35,27.66,27.73,27.17,27.55,27.46,27.28,27.32,27.40,27.43,27.32,27.51,27.88,27.53,27.39,27.46,27.65,27.53,27.60,27.61,27.49,27.76,27.31,27.84,27.99,27.94,27.60,27.71,27.74,27.82,27.75,28.08,27.86,28.25
18,Ndzuani,Hashelafou,-12.1664,44.23878,27.16,27.35,27.68,27.73,27.16,27.54,27.48,27.28,27.32,27.40,27.44,27.31,27.49,27.87,27.51,27.38,27.44,27.66,27.54,27.58,27.61,27.46,27.75,27.33,27.85,28.00,27.94,27.58,27.71,27.74,27.82,27.72,28.09,27.86,28.27
19,Ndzuani,Lambwa,-12.23235,44.28096,27.16,27.34,27.67,27.72,27.14,27.55,27.44,27.28,27.32,27.40,27.44,27.32,27.51,27.87,27.54,27.38,27.44,27.63,27.54,27.60,27.61,27.48,27.76,27.29,27.84,27.99,27.94,27.58,27.70,27.73,27.81,27.74,28.08,27.87,28.25
20,Ndzuani,Mayindrini,-12.16027,44.20214,27.16,27.35,27.67,27.74,27.17,27.55,27.49,27.28,27.32,27.41,27.43,27.31,27.49,27.88,27.51,27.39,27.46,27.67,27.54,27.59,27.62,27.47,27.75,27.33,27.85,28.00,27.93,27.60,27.71,27.74,27.83,27.73,28.10,27.87,28.26
21,Ndzuani,Shitsangasheli,-12.25126,44.31506,27.16,27.33,27.68,27.72,27.13,27.56,27.44,27.28,27.33,27.40,27.45,27.33,27.51,27.86,27.56,27.37,27.43,27.62,27.54,27.60,27.61,27.47,27.76,27.28,27.83,28.00,27.94,27.58,27.71,27.73,27.82,27.74,28.09,27.88,28.24
22,Ndzuani,Darsalama,-12.264369,44.390131,27.13,27.32,27.66,27.71,27.10,27.55,27.43,27.24,27.31,27.37,27.45,27.30,27.49,27.82,27.53,27.33,27.40,27.61,27.54,27.57,27.60,27.44,27.73,27.25,27.81,27.99,27.91,27.56,27.70,27.71,27.81,27.71,28.07,27.84,28.22
23,Ngazidja,Iconi_01,-11.752227,43.22752,27.20,27.30,27.59,27.56,27.11,27.45,27.43,27.29,27.30,27.31,27.39,27.30,27.42,27.76,27.42,27.32,27.45,27.55,27.50,27.45,27.54,27.42,27.68,27.23,27.81,27.80,27.83,27.50,27.54,27.66,27.67,27.73,27.98,27.72,28.12
24,Ngazidja,Iconi_02,-11.74426,43.23023,27.20,27.29,27.58,27.56,27.11,27.45,27.43,27.29,27.30,27.31,27.39,27.30,27.41,27.75,27.42,27.32,27.44,27.54,27.49,27.45,27.54,27.42,27.66,27.22,27.80,27.80,27.83,27.49,27.53,27.66,27.67,27.72,27.98,27.71,28.11
25,Ngazidja,Chindini,-11.9293,43.49171667,27.16,27.33,27.61,27.62,27.12,27.47,27.46,27.23,27.28,27.27,27.39,27.25,27.43,27.72,27.42,27.31,27.39,27.56,27.51,27.45,27.56,27.40,27.70,27.22,27.84,27.86,27.85,27.53,27.61,27.70,27.78,27.73,28.01,27.76,28.17
26,Ngazidja,Ifoundihe Chamboini,-11.91326,43.42691,27.19,27.34,27.63,27.62,27.14,27.48,27.46,27.26,27.30,27.27,27.40,27.27,27.44,27.74,27.44,27.32,27.40,27.57,27.52,27.46,27.58,27.41,27.72,27.22,27.86,27.86,27.86,27.51,27.62,27.69,27.78,27.77,28.01,27.75,28.16
27,Ngazidja,Itsoundzou,-11.873187,43.3866534,27.23,27.33,27.63,27.58,27.13,27.47,27.43,27.29,27.31,27.29,27.40,27.30,27.43,27.76,27.44,27.32,27.43,27.58,27.53,27.47,27.57,27.43,27.73,27.25,27.82,27.83,27.84,27.48,27.57,27.67,27.73,27.79,27.99,27.73,28.13
28,Ngazidja,Male,-11.89966667,43.52521667,27.17,27.36,27.61,27.65,27.14,27.49,27.50,27.23,27.29,27.30,27.41,27.25,27.45,27.74,27.44,27.33,27.42,27.57,27.53,27.49,27.57,27.41,27.70,27.26,27.86,27.91,27.88,27.56,27.64,27.75,27.82,27.71,28.05,27.79,28.21
29,Ngazidja,Bandamadji,-11.67013333,43.26388333,27.16,27.27,27.53,27.53,27.10,27.40,27.40,27.25,27.25,27.28,27.36,27.24,27.38,27.69,27.37,27.25,27.39,27.49,27.44,27.41,27.50,27.38,27.59,27.18,27.76,27.74,27.79,27.45,27.50,27.63,27.64,27.66,27.95,27.67,28.09
30,Ngazidja,Bangoi,-11.36711,43.37958,27.20,27.38,27.59,27.67,27.11,27.45,27.52,27.21,27.22,27.32,27.41,27.24,27.44,27.76,27.42,27.23,27.42,27.61,27.52,27.51,27.58,27.38,27.67,27.27,27.81,27.88,27.93,27.56,27.67,27.79,27.80,27.67,28.06,27.78,28.20
